header,class,mechanism,group
Bla|OXA-73|AY762325|116-937|822|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
954|M97297.1|TRNVAN|Glycopeptides|VanA-type_regulator|VANSA,Glycopeptides,VanA-type regulator,VANSA
AGly|Aac6-Iw|AF031331|1-441|441|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
348|KF478993.1|KF478993|Glycopeptides|VanA-type_resistance_protein|VANHA,Glycopeptides,VanA-type resistance protein,VANHA
ENA|dsbA|AAC43524|AAC43524.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32LL:Location:1..627,Metal resistance,metal efflux regulator,dsbA
933|AB164230.1|AB164230|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Flq|QnrB7|EU043311|1-645|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
107|unknown_id|unknown_name|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET43,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TET43
CARD|phgb|X59968|507-1686|ARO:3002690|cml|Phenicol|Phenicol_efflux_pumps|CML,Phenicol,Phenicol efflux pumps,CML
MLS|MsrC|AY004350|496-1974|1479|MLS|Macrolide_resistance_efflux_pumps|MSRC,MLS,Macrolide resistance efflux pumps,MSRC
Bla|OXA-78|AY862132|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|OXA-111|EF650037|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|323709060|gb|HQ398214.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|OXA-118|AF371964|119-919|801|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
ENA|fecD|AAC77244|AAC77244.3Escherichiacolistr.K-12substr.MG1655ferriccitrateABCtransporterpermease,Metal resistance,metal efflux protein,fecD
CARD|phgb|Z33413|386-935|ARO:3000380|FosC|Fosfomycin|Fosfomycin_phosphorylation|FOSC,Fosfomycin,Fosfomycin phosphorylation,FOSC
Rif|JX028276.1|gene31|Rifampin|Rifampin_glycosyltransferase|RGT,Rifampin,Rifampin glycosyltransferase,RGT
184|KF823969.1|KF823969|Glycopeptides|VanB-type_regulator|VANRB,Glycopeptides,VanB-type regulator,VANRB
gi|7381164|gb|AF135373.1|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
Flq|CP001581.1|gene3048|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
Bla|LEN-21|AM850911|1-861|861|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
Bla|CTX-M-40|AY750914|207-1079|873|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|392295711|gb|JQ422053.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|66576191|gb|DQ054528.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
CARD|phgb|AHEL01000071|3243-4143|ARO:3000318|mphB|MLS|Macrolide_phosphotransferases|MPHB,MLS,Macrolide phosphotransferases,MPHB
Bla|CTX-M-107|JF274244|1-864|864|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
CARD|pvgb|HE999704|2567249-2568437|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB
MLS|ermA_2_AF002716|MLS|23S_rRNA_methyltransferases|ERMA,MLS,23S rRNA methyltransferases,ERMA
CARD|pvgb|AL123456|1674201-1675011|ARO:3003393|Mycobacterium|Mycobacterium_tuberculosis-specific_Drug|Isoniazid-resistant_inhA|INHA|RequiresSNPConfirmation,Mycobacterium tuberculosis-specific Drug,Isoniazid-resistant inhA,INHA
